message,description,id,page_id,full_text,locations
"曼谷必去 399baht 新鲜海鲜BBQ 吃到饱！

Address： ซอย รามคำแหง 127 (ติดศูนย์อาหาร), Bangkok, Thailand 10240
google map: 13.6776891,100.5468049
Mon-Sun: 17:00 - 23:00
Phone number ： +66 89 668 8821
Website： Mr.Seafood 
https://www.facebook.com/mr.seafood127

#Like our page to get more travel ideas, inspirations and deals!
#Share & #Tag who you would like to eat with!",,1647170365552546_1710147249254857,Tripviss," 399baht BBQ 

Address   127 (), Bangkok, Thailand 10240
google map:  
Mon-Sun: 17:00 - 23:00
Phone number  +66 89 668 8821
Website   
 

#Like our page to get more travel ideas, inspirations and deals!
#Share & #Tag who you would like to eat with! ",Thailand$$Bangkok
"Hey, anyone here travelling to Korea near soon? Here you may love to visit: Gimhae Lotte Water Park

Gimhae Lotte Water Park
- Address: 555, Jangyu-ro, Gimhae-si, Gyeongsangnam-do
- Operating hours: 09:00 - 19:00 
- Admission Fee: All-day Tickets: Adults 55,000 - 58,000 won / Children 43,000 - 46,000 won; Afternoon Tickets (admission after 14:30): Adults 45,000 - 48,000 won / Children 35,000 - 38,000 

*Rates are subject to change depending on the rides and the season. 

For more information, visit Gimhae Lotte Water Park http://bit.ly/1TnZhDm

#Like our page to get more travel ideas, inspiration & deals!
#Share & #Tag to anyone who you would like to go with!",,1647170365552546_1706111416325107,Tripviss,"Hey, anyone here travelling to Korea near soon? Here you may love to visit: Gimhae Lotte Water Park

Gimhae Lotte Water Park
- Address: 555, Jangyu-ro, Gimhae-si, Gyeongsangnam-do
- Operating hours: 09:00 - 19:00 
- Admission Fee: All-day Tickets: Adults 55,000 - 58,000 won / Children 43,000 - 46,000 won; Afternoon Tickets (admission after 14:30): Adults 45,000 - 48,000 won / Children 35,000 - 38,000 

*Rates are subject to change depending on the rides and the season. 

For more information, visit Gimhae Lotte Water Park  

#Like our page to get more travel ideas, inspiration & deals!
#Share & #Tag to anyone who you would like to go with! ",Gimhae Lotte Water Park Gimhae Lotte Water Park$$Gimhae Lotte Water Park$$Korea
"《Dam Surat Thani Raft House, Thailand》

Feeling the nature... ... ...

#Share & #Tag anyone you would like to go with!
#Like our page to get more travel ideas & inspirations!",,1647170365552546_1701856886750560,Tripviss,"Dam Surat Thani Raft House, Thailand

Feeling the   ...

#Share & #Tag anyone you would like to go with!
#Like our page to get more travel ideas & inspirations! ",Thailand
"Fujiyama (roller coaster), #Japan

OMG! That's scary roller coaster i ever seen! Tag anyone you would like to challenge with!
#Tripviss",,1647170365552546_1701118770157705,Tripviss,"Fujiyama (roller coaster), #Japan

OMG! That's scary roller coaster i ever seen! Tag anyone you would like to challenge with!
#Tripviss ",
"Dinner in a Cave in #HalongBay, #Vietnam - The Seven Nature Wonder Of The World - Fantastic experience!

Explore Halong Bay - The Seven Nature Wonder Of the World, beside joining many interesting activities such as kayaking, exploring amazing caves, visiting floating villages, squid fishing, rock climbing.... Now you will have chance to enjoy the special and romantic dinner in a cave in the middle of nature of Halong Bay.

You will be served with extremely delicious food with great fruit and vegetable carving performance in the most relaxing way magnificent and amazing views. Somehow you could hear the cave gently talking to you combining with the whisper of the light wind.

Don’t miss this awesome experience of the lifetime. Let’s pack everything up and get on the way!

#Like our page to get more travel ideas & inspirations!",,1647170365552546_1699729060296676,Tripviss,"Dinner in a Cave in #HalongBay, #Vietnam - The Seven Nature Wonder Of The World - Fantastic experience!

Explore Halong Bay - The Seven Nature Wonder Of the World, beside joining many interesting activities such as kayaking, exploring amazing caves, visiting floating villages, squid fishing, rock   you will have chance to enjoy the special and romantic dinner in a cave in the middle of nature of Halong Bay.

You will be served with extremely delicious food with great fruit and vegetable carving performance in the most relaxing way magnificent and amazing views. Somehow you could hear the cave gently talking to you combining with the whisper of the light wind.

Dont miss this awesome experience of the lifetime. Lets pack everything up and get on the way!

#Like our page to get more travel ideas & inspirations! ",Halong Bay
"Mickey Mouse Cruise! - #Tag & #Share anyone you would like to sail with! <3

Disney Cruise Line offers a vacation experience unlike any other that magically brings families together while providing unparalleled kid fun and relaxing adult time. 

#Like our page #Tripviss to get more travel ideas & inspirations!
Visit us - https://tripviss.com",,1647170365552546_1697563833846532,Tripviss,"Mickey Mouse Cruise! - #Tag & #Share anyone you would like to sail with! <3

Disney Cruise Line offers a vacation experience unlike any other that magically brings families together while providing unparalleled kid fun and relaxing adult time. 

#Like our page #Tripviss to get more travel ideas & inspirations!
Visit us -   ",
"How many of you would like to sleep in glass igloo and view the amazing dance of Northern light in Finland? 

#Like our page to get more travel ideas, inspirations and deals
Grab it now! - http://bit.ly/1PD3rCY
#Tripviss #Travel #Holiday",,1647170365552546_1692027974400118,Tripviss,"How many of you would like to sleep in glass igloo and view the amazing dance of Northern light in Finland? 

#Like our page to get more travel ideas, inspirations and deals
Grab it now! -  
#Tripviss #Travel #Holiday ",Finland
"Tag anyone who would like to experience 《The 5th Wave》! :D

Caribbean Bay, South Korea - is an indoor /outdoor water park located in #Yongin, #SouthKorea. It is the largest indoor and outdoor water park in the world! Caribbean Bay is park of Overland Resort, but it requires a separate admission fee. 

#Like our page to get more travel ideas, inspirations and deals!",,1647170365552546_1691480314454884,Tripviss,"Tag anyone who would like to experience The 5th Wave! :D

Caribbean Bay, South Korea - is an indoor /outdoor water park located in #Yongin, #SouthKorea. It is the largest indoor and outdoor water park in the world! Caribbean Bay is park of Overland Resort, but it requires a separate admission fee. 

#Like our page to get more travel ideas, inspirations and deals! ",South Korea$$Overland Resort$$Caribbean Bay
"Boracay, Philippines <3

#Like our page to get more travel ideas, inspirations and amazing deals!
Grab it now from RM469! - https://tripviss.com/destinations/381?",,1647170365552546_1690095907926658,Tripviss,"Boracay, Philippines <3

#Like our page to get more travel ideas, inspirations and amazing deals!
Grab it now from RM469! -   ",Philippines$$Boracay
"<3 Greek Islands - Santorini <3 

The most spectacular sunsets on this planet. Great nightlife, excellent beaches, spectacular scenary and romance make this one of the world's top destinations for honeymooners and weddings too. A dream travel destination especially for all ladies of all time! 

Get it now! - https://tripviss.com/tours/2225
#Like our page to get more travel ideas, inspirations and deals now!",,1647170365552546_1688340351435547,Tripviss,"<3 Greek Islands - Santorini <3 

The most spectacular sunsets on this planet. Great nightlife, excellent beaches, spectacular scenary and romance make this one of the world's top destinations for honeymooners and weddings too. A dream travel destination especially for all ladies of all time! 

Get it now! -  
#Like our page to get more travel ideas, inspirations and deals now! ",Greek Islands$$Santorini
"Win a FREE trip for 2 to Malaysia most exotic island. Join Now! -
https://tripviss.com/campaigns/4331361888-beach-&-island

1. Redang Island 2. Rawa Island 3. Mabul Island","A relaxing sweet escape to Malaysia's exotic islands that feature stunning soft white beaches, crystal clear waters, tropical rainforests and diverse cultures.",1647170365552546_1687661214836794,Tripviss,"Win a FREE trip for 2 to Malaysia most exotic island. Join Now! -
 

1. Redang Island 2. Rawa Island 3. Mabul Island A relaxing sweet escape to Malaysia's exotic islands that feature stunning soft white beaches, crystal clear waters, tropical rainforests and diverse cultures.",Rawa Island$$Mabul Island$$Malaysia$$Redang Island
"Little amazing places in #Sabah, #Malaysia <3 

Like our page to open your sight to the world!

#Adventure #Wildlife #Island #Sightseeing

Subscribe to our newsletter for early invite at https://tripviss.com
#TripViss #WithinYourReach #Travel",,1647170365552546_1673098022959780,Tripviss,"Little amazing places in #Sabah, #Malaysia <3 

Like our page to open your sight to the world!

#Adventure #Wildlife #Island #Sightseeing

Subscribe to our newsletter for early invite at  
#TripViss #WithinYourReach #Travel ",
"<Asean Night Bazaar in Hatyai, Thailand>

Do not miss out this #ShoppingParadise and #FoodParadise when you travel to Hatyai, Thailand!

Address: Chotwittayakul 4 Rd, Hat Yai, Thailand

Subscribe to our newsletter for early invite at https://tripviss.com
#TripViss #WithinYourReach #Travel",,1647170365552546_1650983168504599,Tripviss,"<Asean Night Bazaar in Hatyai, Thailand>

Do not miss out this #ShoppingParadise and #FoodParadise when you travel to Hatyai, Thailand!

Address: Chotwittayakul 4 Rd, Hat Yai, Thailand

Subscribe to our newsletter for early invite at  
#TripViss #WithinYourReach #Travel ",Thailand$$Hatyai$$Hat Yai
